name,url,First appearance,Latest appearance,Occupation(s),Residence,Gender,Color,Eye color,Portrayer,Appearance,Classification,Spouse,Parents,Children
Measuring fish inc,https://spongebob.fandom.com/wiki/Measuring_fish_inc,"""MuscleBob BuffPants""","""SpongeBob's Super Bowl Party""",Distance measurer,"Bikini Bottom, Pacific Ocean",Male,Light blue,Black,Dee Bradley Baker,,Fish,,,
"""Crowd"" incidentals",https://spongebob.fandom.com/wiki/%22Crowd%22_incidentals,"""MuscleBob BuffPants""","""Big Top Flop"" (Crowds 1-3B)",,"Bikini Bottom, Pacific Ocean","['Male', 'Female (Crowds 1B, 2B, and 3B)']",Various,Black,,,Fish,,,
Crowd 1,https://spongebob.fandom.com/wiki/Crowd_1,"""MuscleBob BuffPants""","""Big Top Flop""",,"Bikini Bottom, Pacific Ocean",Male,Red,Black,,,Fish,,,
Crowd 2,https://spongebob.fandom.com/wiki/Crowd_2,"""MuscleBob BuffPants""","""Big Top Flop""",,"Bikini Bottom, Pacific Ocean",Male,Brownish-orange,Black,Tom Kenny,,Fish,,,
Crowd 3,https://spongebob.fandom.com/wiki/Crowd_3,"""MuscleBob BuffPants""","""Big Top Flop""",,"Bikini Bottom, Pacific Ocean",Male,Brownish-tan,Black,,,Fish,,,
Squidward's bonsai,https://spongebob.fandom.com/wiki/Squidward%27s_bonsai,"""Squidward the Unfriendly Ghost""","""SquidBird""",,"122 Conch Street, Bikini Bottom, Pacific Ocean",,Dark green,Light green,Rodger Bumpass,,Tree,,,
The Flying Dutchman,https://spongebob.fandom.com/wiki/Flying_Dutchman,"['""Squidward the Unfriendly Ghost"" (in pictures)', '""Scaredy Pants"" (physically and production order debut)']",The SpongeBob Movie: Search for SquarePants,Haunting sprees/in charge of Davy Jones' locker,"Flying Dutchman's ship, Bikini Bottom, Pacific Ocean",Male,Glowing green,Yellow with black irises,"['Brian Doyle-Murray', 'Mark Hamill (The SpongeBob Movie: Search for SquarePants)']",,Ghost of a human,,"['Mrs. Dutchman (mother)', 'Unnamed father']",
Incidental 30,https://spongebob.fandom.com/wiki/Incidental_30,"""Help Wanted""","['Saving Bikini Bottom: The Sandy Cheeks Movie (SpongeBob SquarePants)', '""End of Summer Daze"" (Incidental 117) (Kamp Koral: SpongeBob\'s Under Years)', '""Patrick Show Land"" (The Patrick Star Show)']","['Jellyspotter (Jellyspotter A and C)', 'Barber', 'Doctor', 'Battle reenactor', 'Blue soldier', 'Band member', 'Fry Cook Games competitor', 'Krusty Krab commercial crew member (formerly)', 'Fizz Bomb Cola truck driver', 'Camper (Incidental 117)', 'Organ carrier', 'Student', 'Sailor (Jellyspotter A and C)']","['Bikini Bottom, Pacific Ocean', 'Inferno Island', 'Barge Cabin, Kamp Koral (Incidental 117)']",Male,Light blue,Black,"['Rodger Bumpass', 'Clancy Brown (""Pickles"")', 'Sirena Irwin (""SpongeBob\'s Place"")', 'Jill Talley (Anchovy bride)', 'Eban Schletter (""The Inmates of Summer"") (singing voice)']",,Anchovy,,,
Seagull,https://spongebob.fandom.com/wiki/Seagull,,,,,,,,,,,,,
Sponge dummy,https://spongebob.fandom.com/wiki/Sponge_dummy,,,,,,,,,"""The Chaperone""",,,,
Margie Star,https://spongebob.fandom.com/wiki/Margie_Star,"['""Home Sweet Pineapple"" (mentioned)', '""I\'m with Stupid""']",SpongeBob's Idle Adventures,,"Bikini Bottom, Pacific Ocean",Female,Coral pink with red dots,Black,Susan Boyajian,,Starfish,Herb Star/Cecil Star (husband),,"['Sam Star (daughter)', 'Patrick Star (son)', 'Squidina Star (adoptive daughter)']"
Long Tan and Handsome,https://spongebob.fandom.com/wiki/Long_Tan_and_Handsome,,,,,,,,,"""The Chaperone""",,,,
Octavius Rex,https://spongebob.fandom.com/wiki/Octavius_Rex,"""The Chaperone""","""The Flower Plot""","[""Goofy Goober's Ice Cream Party Boat employee"", 'Student', ""Maestro Mackerel's assistant""]","Monster Island, Pacific Ocean",Male,Yellow,Black,"['Rodger Bumpass', 'Dee Bradley Baker', 'Tom Kenny']",,Anchovy,,,
Incidental 1B,https://spongebob.fandom.com/wiki/Incidental_1B,"""The Chaperone""","['""The Goobfather"" (BunnyBunnsKids 15) (SpongeBob SquarePants)', '""FitzPatrick"" (BunnyBunnsKids 15) (The Patrick Star Show)']","['Camera man', 'Tailor', 'Choir boy', 'Businessman']","Bikini Bottom, Pacific Ocean",Male,Pale brown,Black,,,Grouper,,,
Clint,https://spongebob.fandom.com/wiki/Clint,"""The Chaperone""",The Cosmic Shake,"['SWAT Team member', 'Waiter', 'Sound guy']","['Bikini Bottom, Pacific Ocean', 'Dead Eye Gulch']",Male,Light olive green,Black,,,Grouper,,,
"""Teen"" incidentals",https://spongebob.fandom.com/wiki/%22Teen%22_incidentals,"""The Chaperone""","['""Big League Bob"" (SpongeBob SquarePants) (Teens 7 and 12)', '""Too Many Patricks"" (The Patrick Star Show) (Teen 2)']","['Students', 'Movie theater vendor (Teen 1)', 'Violin player (Teen 1, 3, 4A, and 5)', 'Cello player (Teen 2)', 'Actor (Teen 7, 8, 9, and 13)', ""Goofy Goober's Ice Cream Party Boat employee (Teen 9)""]","Bikini Bottom, Pacific Ocean","['Male', 'Female']",Various,Various,,,"['Fish', 'Anchovies (Teens 1-6B, Teen 9, and Teen 13)']",,,
Billy Fishkins,https://spongebob.fandom.com/wiki/Billy_Fishkins,"""The Chaperone""","""The Flower Plot""","['Movie theater vendor', 'Student', 'Violin player']","Bikini Bottom, Pacific Ocean",Male,Olive brown,,Tom Kenny,,Anchovy,,,
Teen 1A,https://spongebob.fandom.com/wiki/Teen_1A,"""The Chaperone""","""Plankton's Intern""",Student,"Bikini Bottom, Pacific Ocean",Male,Blue-gray,,,,Anchovy,,,
Bryan Flounder,https://spongebob.fandom.com/wiki/Bryan_Flounder,"""The Chaperone""","['""The Flower Plot"" (SpongeBob SquarePants)', '""Too Many Patricks"" (The Patrick Star Show)']","['Student', 'Celloist']","Bikini Bottom, Pacific Ocean",Male,Brownish-gray,Black,,,Anchovy,,,
Teen 2A,https://spongebob.fandom.com/wiki/Teen_2A,"""The Chaperone""",Comic Number 4,Student,"Bikini Bottom, Pacific Ocean",Male,Maple brown,White with black pupils,,,Anchovy,,,
Teen 3,https://spongebob.fandom.com/wiki/Teen_3,"""The Chaperone""","""Friendiversary"" (pictured)","['Student', 'Violin player']","Bikini Bottom, Pacific Ocean",Male,Pale teal,White with black pupils,,,Anchovy,,,
Teen 3A,https://spongebob.fandom.com/wiki/Teen_3A,"""The Chaperone""",Comic Number 4,Student,"Bikini Bottom, Pacific Ocean",Male,Dark olive green,White with black pupils,,,Anchovy,,,
Billy Fishkin,https://spongebob.fandom.com/wiki/Billy_Fishkin,"""The Chaperone""","""Married to Money""",Student,"Bikini Bottom, Pacific Ocean",Male,Grayish-brown,White with black pupils,,,Anchovy,,,
Teen 4A,https://spongebob.fandom.com/wiki/Teen_4A,"""The Chaperone""",SpongeBob Run,"['Student', 'Violin player']","Bikini Bottom, Pacific Ocean",Male,Dark teal,White with black pupils,,,Anchovy,,,
Teen 5,https://spongebob.fandom.com/wiki/Teen_5,"""The Chaperone""","""Chocolate with Nuts: Puppet Edition!"" (Waiter C)","['High School Student', 'Waiter (Waiter A, B, and C)', 'Violinist', 'Announcer (Waiter C)', 'Foot massuer', 'Bora Bora Bottom employee (Waiter B)']","Bikini Bottom, Pacific Ocean",Male,Olive green,White with black pupils,"['Tom Kenny', 'Dee Bradley Baker', 'Bill Fagerbakke']",,Anchovy,,,
Teen 5A,https://spongebob.fandom.com/wiki/Teen_5A,"""The Chaperone""",Comic Number 4,Student,"Bikini Bottom, Pacific Ocean",Male,Gray,White with black pupils,,,Anchovy,,,
Teen 6,https://spongebob.fandom.com/wiki/Teen_6,"""The Chaperone""","""Gary's Got Legs""",Student,"Bikini Bottom, Pacific Ocean",Male,Tan-brown,White with black pupils,,,Anchovy,,,
Teen 6A,https://spongebob.fandom.com/wiki/Teen_6A,"""The Chaperone""",Comic Number 4,Student,"Bikini Bottom, Pacific Ocean",Male,Olive green,White with black pupils,,,Anchovy,,,
Teen 6B,https://spongebob.fandom.com/wiki/Teen_6B,"""The Chaperone""","""Married to Money""",Student,"Bikini Bottom, Pacific Ocean",Male,Teal,White with black pupils,,,Anchovy,,,
Cindy,https://spongebob.fandom.com/wiki/Teen_7,"""Squeaky Boots""","""Big League Bob"" (Teen 7)","['Student (Teen 7)', 'Actor (Teen 7)']","Bikini Bottom, Pacific Ocean",Female,Light blue,White with black pupils,"['Jill Talley (Teen 7)', 'Carolyn Lawrence (Teen 7)']",,Fish,,,
Teen 8,https://spongebob.fandom.com/wiki/Teen_8,"""The Chaperone""","['""Upturn Girls"" (SpongeBob SquarePants)', '""Neptune\'s Ball"" (The Patrick Star Show)']","['Student', 'Actor']","Bikini Bottom, Pacific Ocean",Female,Blue-gray,White with black pupils,Sirena Irwin,,Fish,,,
Teen 9,https://spongebob.fandom.com/wiki/Teen_9,"""The Chaperone""","['""Say Awww!"" (SpongeBob SquarePants)', '""X Marks the Pot"" (The Patrick Star Show)']","[""Goofy Goober's Ice Cream Party Boat employee"", 'Student', 'Actor']","Bikini Bottom, Pacific Ocean",Female,Greenish-yellow,White with black pupils,Sirena Irwin,,Anchovy,,,
Incidental 7,https://spongebob.fandom.com/wiki/Teen_10,"['""Ripped Pants""', '""Squeaky Boots"" (production order)']","['Saving Bikini Bottom: The Sandy Cheeks Movie (SpongeBob SquarePants)', '""Patrick Show Land"" (The Patrick Star Show)']","['Student', 'Bank Teller', 'Servant of King Poseidon', 'Tank company employee', 'Office job', 'Werewolf groomer', 'Actor', 'Hygenist', 'Photographer', 'Stair war solider']","['Bikini Bottom, Pacific Ocean', 'Atlantic City', 'New Kelp City', 'Dead Eye Gulch', 'Binary Bottom (""RobotInc"" variant)', 'Shady Shoals Rest Home']",Female,"['Dark gray', 'Light gray', 'Blue-gray']",White with black pupils,"['Jill Talley (""Roller Cowards,"" ""Giant Squidward,"" ""Fiasco!,"" ""Chum Fricassee,"" ""Plankton\'s Old Chum,"" ""Get Off My Lawnie,"" and ""Big Baby Patrick"")', 'Lori Alan (""The Slumber Party"")', 'Carolyn Lawrence (""The Abrasive Side,"" ""SpongeBob LongPants,"" ""Patrick\'s Coupon,"" ""Say Awww!,"" and ""PL-1413"")', 'Dee Bradley Baker (""Mermaid Man Begins"")', 'Mary Jo Catlett (""For Here or to Go"")', 'Susan Boyajian (""Patrick\'s Tantrum"")', 'Kate Higgins (""The Yard Sale"" and ""Blood is Thicker Than Grease"")', 'Cree Summer (""Backpay Payback,"" ""Olly Olly Organ Free,"" ""Tying the Klop-Knot,"" and ""Face/Off-Model"")']",,Minnow,,,
Teen 12,https://spongebob.fandom.com/wiki/Teen_12,"""The Chaperone""","""Big League Bob""",Student,"Bikini Bottom, Pacific Ocean",Female,Purple,White with black pupils,,,Fish,,,
Teen 13,https://spongebob.fandom.com/wiki/Teen_13,"""The Chaperone""","""Dopey Dick""",Student,"Bikini Bottom, Pacific Ocean",Female,Olive green,Black,,,Anchovy,,,
Incidental 8,https://spongebob.fandom.com/wiki/Teen_14,"['""Ripped Pants""', '""Squeaky Boots"" (production order)']","['Saving Bikini Bottom: The Sandy Cheeks Movie (SpongeBob SquarePants)', '""Patrick Show Land"" (The Patrick Star Show)']","['Student', 'Actor in Glove World! film', 'Werewolf groomer', 'Stair war solider']","['Bikini Bottom, Pacific Ocean', 'Dead Eye Gulch', 'Binary Bottom (""RobotInc"" variant)']",Female,"Light pink, white, and light red",White with black pupils,"['Bill Fagerbakke (""Don\'t Feed the Clowns"")', 'Tom Kenny (""Mimic Madness"")', 'Mary Jo Catlett (""Patrick-Man!"")']",,Striped squirrelfish,,,
Teen 15,https://spongebob.fandom.com/wiki/Teen_15,"""The Chaperone""","['""Upturn Girls"" (SpongeBob SquarePants)', '""FitzPatrick"" (The Patrick Star Show)']","['Student', 'Actress']","Bikini Bottom, Pacific Ocean",Female,Light orange,White with black pupils,"['Sirena Irwin', 'Mary Jo Catlett', 'Carolyn Lawrence']",,Fish,,Mother-in-law,
Teen B1,https://spongebob.fandom.com/wiki/Teen_B1,"""The Chaperone""","""Upturn Girls""",Student,"Bikini Bottom, Pacific Ocean",Male,Orange,White with black pupils,,,Fish,,,
Teen B6,https://spongebob.fandom.com/wiki/Teen_B6,"""The Chaperone""","['""Plankton\'s Intern"" (SpongeBob SquarePants)', '""Uncredible Journey"" (The Patrick Star Show)']",Student,"Bikini Bottom, Pacific Ocean",Male,Light blue,White with black pupils,"['Tom Kenny (""Plankton\'s Intern"")', 'Bill Fagerbakke (""Uncredible Journey"")']",,Fish,,,
Football player,https://spongebob.fandom.com/wiki/Football_player,"""The Chaperone""","""Big Top Flop""","['Student', 'Football player']","Bikini Bottom, Pacific Ocean",Male,Dark gray,Dark green,Rodger Bumpass,,Fish,,,
Norman Rockbass,https://spongebob.fandom.com/wiki/Norman_Rockbass,"""The Chaperone""",SpongeBob SquarePants Trading Card Game,Painter,"Bikini Bottom, Pacific Ocean",Male,Dark gray,Black,Doug Lawrence (Uncredited),,Fish,,,
Employee of the Month SpongeBobs,https://spongebob.fandom.com/wiki/Employee_of_the_Month_SpongeBobs,"""Employee of the Month""",The SpongeBob SquarePants Movie,,,Male,,,Tom Kenny,,Sponge,,,
Incidental 43,https://spongebob.fandom.com/wiki/Incidental_43,"""Scaredy Pants""",The Big Halloween Scare,,"Bikini Bottom, Pacific Ocean",Male,Pale green,Yellow with black pupils,Sara Paxton,,Fish,,,
Incidental 44,https://spongebob.fandom.com/wiki/Incidental_44,"""Scaredy Pants""",The Big Halloween Scare,,"Bikini Bottom, Pacific Ocean",Male,Blue-gray,White with black pupils,Camryn Walling,,Shark,,,
Incidental 45,https://spongebob.fandom.com/wiki/Incidental_45_(Scaredy_Pants),"""Scaredy Pants""",Comic Number 5,,"Bikini Bottom, Pacific Ocean",Male,Dark orange,White with black pupils,,,Fish,,,
Incidental 51,https://spongebob.fandom.com/wiki/Incidental_51,"""Scaredy Pants""",Comic Number 5,,"Bikini Bottom, Pacific Ocean",Male,Olive green,Yellow with black pupils,,,Fish,,,
Incidental 52,https://spongebob.fandom.com/wiki/Incidental_52,"""Scaredy Pants""",Comic Number 5,,"Bikini Bottom, Pacific Ocean",Female,Purple,White with black pupils,,,Fish,,,
Incidental 53,https://spongebob.fandom.com/wiki/Incidental_53,"""Scaredy Pants""",Comic Number 5,,"Bikini Bottom, Pacific Ocean",Unknown,Blue-gray,White with black pupils,,,Dartfish,,,
Incidental 56,https://spongebob.fandom.com/wiki/Incidental_56,"""Scaredy Pants""","""Squidferatu""",Performer,"['Bikini Bottom, Pacific Ocean', ""Nosferatu's castle""]",Male,White,White with black pupils,"['Tom Kenny', 'Dee Bradley Baker', 'Rodger Bumpass']",,Fish,,,
Kid,https://spongebob.fandom.com/wiki/Kid_(Scaredy_Pants),"""Scaredy Pants""","""Big Top Flop""",,"Bikini Bottom, Pacific Ocean",Male,Teal,White with black pupils,Camryn Walling,,Fish,,"['Dad', 'Mom']",
Mom,https://spongebob.fandom.com/wiki/Mom_(Scaredy_Pants),"""Scaredy Pants""","""Big Top Flop""",,"Bikini Bottom, Pacific Ocean",Female,Pearl blue,White with black pupils,"['Tom Kenny (""Scaredy Pants"")', 'Carolyn Lawrence (""Big Top Flop"")']",,Fish,Dad,,Kid
Dad,https://spongebob.fandom.com/wiki/Dad_(Scaredy_Pants),"""Scaredy Pants""","""Big Top Flop""",,"Bikini Bottom, Pacific Ocean",Male,Lime green,White with black pupils,Bill Fagerbakke,,Fish,Mom,,Kid
Homeowner,https://spongebob.fandom.com/wiki/Homeowner,"""Scaredy Pants""","['""The Flower Plot"" (SpongeBob SquarePants)', '""X Marks the Pot"" (The Patrick Star Show)']",,"Bikini Bottom, Pacific Ocean",Male,Orange,Black,"Clancy Brown (""The String"")",,Fish,,,
Incidental 116,https://spongebob.fandom.com/wiki/Snail_doctor,"""I Was a Teenage Gary"" (as the snail doctor)","['""Don\'t Make Me Laugh"" (snail doctor) (SpongeBob SquarePants)', '""Pat-per Route"" (The Patrick Star Show)']","['Doctor', 'Veterinarian (Snail doctor)', 'Pirate', 'Dentist', 'Retirement Home Staff Member', 'Optomofish', 'Snail expert (Snail doctor)', 'Snail disease expert (Snail doctor)', 'Allergist']","['Bikini Bottom, Pacific Ocean', 'Pirate Territory']",Male,"['Purple', 'Faded blue', 'Dark purple']",Black,"['Rodger Bumpass', 'Dee Bradley Baker (""The Two Faces of Squidward"")', 'Doug Lawrence (""The Cent of Money"" and ""Allergy Attack!"")', 'Clancy Brown (""Ride Patrick Ride"")']",,Fish,,,
Scallops and clams,https://spongebob.fandom.com/wiki/Scallops_and_clams,"""Help Wanted""","""Pet the Rock""",,,,,,,,,,,
SpongeTron,https://spongebob.fandom.com/wiki/SpongeTron,"""SB-129""","""A Very Patchy Holiday Stream Special""",Fry cook,"Bikini Bottom, Pacific Ocean; during the 41st century",Male,Light yellow with olive-green holes,Light blue,Tom Kenny,,Robot (sea sponge (Aplysina fistularis) in design),,,486 SpongeTron clones
486 SpongeTron clones,https://spongebob.fandom.com/wiki/486_SpongeTron_clones,"""SB-129""","""A Very Patchy Holiday Stream Special""",Fry cook,"Bikini Bottom, Pacific Ocean; during the 41st century",Male,Light yellow with olive-green holes,Light blue,,,Robot (sea sponge (Aplysina fistularis) in design),,SpongeTron (genetic template),
Incidental 119,https://spongebob.fandom.com/wiki/Fish_guy_(Inc_119),"""SB-129"" (as the fish guy)","['""Pat the Dog"" (SpongeBob SquarePants)', '""The Patrick Show Cashes In"" (The Patrick Star Show)']","['Janitor', 'Painter', 'Garbage man', 'Police detective', 'Prison guard (Guard 2)', 'Chrome sprayer', 'Security guard (Guard 2)', 'Delivery man', 'Pilot', 'Artist', 'Stage crew member', 'Pit crew member', 'Repairman', 'Ice cream fish', 'Kelpshake employee', 'Steamroller driver', 'Taxi driver', 'Window repairman', 'Newspaper photographer', 'Stagehand']","['Bikini Bottom, Pacific Ocean', 'Bikini Bottomshire']",Male,Olive-green,Black,"['Dee Bradley Baker', 'Tom Kenny (""Pet or Pests"")']",,Fish,,Guard 2's mother,
PatTron,https://spongebob.fandom.com/wiki/PatTron_(SB-129),"""SB-129""",SpongeBob SquarePants Through the Wormhole,,"Bikini Bottom, Pacific Ocean (in the year 4017)",Male,Coral pink with red dots,Black,Bill Fagerbakke,,Most likely robot (starfish in design),,,
Nautilus,https://spongebob.fandom.com/wiki/Nautilus,"""SB-129""","""5 Star Restaurant""",,,,"Pink, dark pink, and dark red",,,,Ammonoidea,,,
Primitive SpongeBob,https://spongebob.fandom.com/wiki/SpongeBob_(primitive),"""SB-129""","""Hysterical History""",,"Bikini Bottom, Pacific Ocean; during the Paleozoic period",Male,Light yellow with light olive-green holes,Light blue,Tom Kenny,,Primitive sea sponge (Aplysina fistularis),,,
Primitive Patrick,https://spongebob.fandom.com/wiki/Patrick_(primitive),"""SB-129""","""Hysterical History""",,"Prehistoric Bikini Bottom, Pacific Ocean; during the Paleozoic Era",Male,Dark pink and light tan with dark red dots,Black,Bill Fagerbakke,,Primitive starfish,,,
Jay Lender,https://spongebob.fandom.com/wiki/Jay_Lender,,,,,Male,,,,,,,,
The Alone Group,https://spongebob.fandom.com/wiki/The_Alone_Group,"""SB-129""","""Hats Off to Space""",,,,,,"['Tom Kenny', 'Bill Fagerbakke', 'Rodger Bumpass', 'Aaron Springer', 'Erik Wiese', 'Doug Lawrence', 'Clancy Brown', 'Tom Yasumi', 'Derek Drymon', 'Stephen Hillenburg', 'Alan Smart', 'Lori Alan', 'Dee Bradley Baker', 'Carolyn Lawrence', 'Carlos Alazraqui', 'Merriwether Williams', 'Paul Tibbitt', ""Mark O'Hare"", 'Sherm Cohen', 'Sirena Irwin', 'David B. Fain', 'Jay Lender', 'Chuck Klein', 'Ennio Torresan, Jr.', 'Jill Talley', 'Nicholas R. Jennings', 'C.H. Greenblatt', 'William Reiss', 'Peter Bennett', 'Todd White', 'Eric Coleman']",,,,,
Volcano Sauce drop,https://spongebob.fandom.com/wiki/Volcano_Sauce_drop,"""Karate Choppers""",Gone Nutty!,,Volcano Sauce bottle (in SpongeBob's imagination),Male,Red,Black,Tom Kenny,,,,,
Tom Kenny,https://spongebob.fandom.com/wiki/Tom_Kenny,,,,,Male,,,,,,,,
Royal fish,https://spongebob.fandom.com/wiki/King,"""Sleepy Time""",Comic Number 5,King,Squidward's dream,Male,Dark green and light green,Dark blue and black,Dee Bradley Baker,,Fish,,,
Parakeet,https://spongebob.fandom.com/wiki/Parakeet,,,,"124 Conch Street, Bikini Bottom, Pacific Ocean",,Light green,Blue,,"""Sleepy Time""",Bird,,,
Moby Dollar,https://spongebob.fandom.com/wiki/Moby_Dollar,,,,,Female,,,,"""Sleepy Time""",Dollar,,,
Incidental 120,https://spongebob.fandom.com/wiki/Incidental_120,"""Sleepy Time""",Comic Number 5,,Squidward's dream,Male,"['Indigo (1035)', 'Light indigo', 'Dark indigo']",Black,,,Fish,,,
Incidental 121,https://spongebob.fandom.com/wiki/Incidental_121,"""Sleepy Time""",Comic Number 5,,Squidward's dream,Male,"['Gold', 'Bright yellow', 'Dark yellow']",Black,Dee Bradley Baker,,Fish,,,
Incidental 122,https://spongebob.fandom.com/wiki/Incidental_122,"""Sleepy Time""",Comic Number 5,,Squidward's dream,Male,"['Dark mint', 'Dark olive green']",Blue with black pupils,,,Fish,,,
Incidental 123,https://spongebob.fandom.com/wiki/Incidental_123,"""Sleepy Time""",Comic Number 5,,Squidward's dream,Male,"['Dark red', 'Orange']",Blue with black pupils,,,Fish,,,
Incidental 124,https://spongebob.fandom.com/wiki/Incidental_124,"""Sleepy Time""","""Don't Make Me Laugh""",Actress,"[""Squidward's dream"", 'Bikini Bottom, Pacific Ocean']",Female,"['Faded red', 'Pink', 'Dark red', 'Hot pink', 'Lavender']",White with black pupils,Sirena Irwin,,Fish,,,
Incidental 125,https://spongebob.fandom.com/wiki/Incidental_125,"""Sleepy Time""",Comic Number 5,,Squidward's dream,Female,"['Pale green', 'Neon green', 'Dark green', 'Magenta']",White with black pupils,,,Fish,,,
Incidental 126,https://spongebob.fandom.com/wiki/Incidental_126,"""Sleepy Time""",Comic Number 5,,Squidward's dream,Male,"['Indigo', 'Light indigo']",Blue with black pupils,,,Fish,,,
Incidental 127,https://spongebob.fandom.com/wiki/Incidental_127,"""Sleepy Time""","""Don't Make Me Laugh""",Actor,Squidward's dream,Male,"['Dark olive green', 'Olive green']",Blue with black pupils,"['Dee Bradley Baker', 'Doug Lawrence']",,Fish,,,
Incidental 128,https://spongebob.fandom.com/wiki/Incidental_128,"""Sleepy Time""","""Upturn Girls""",,"[""Squidward's dream"", 'Bikini Bottom, Pacific Ocean']",Female,"['Dark orange', 'Orange', 'Plum']",Blue with black pupils,,,Fish,,,
Incidental 129,https://spongebob.fandom.com/wiki/Incidental_129,"""Sleepy Time""",Comic Number 5,,Squidward's dream,Female,"['Hot pink', 'Red']",Blue with black pupils,,,Fish,,,
Incidental 130,https://spongebob.fandom.com/wiki/Incidental_130,"""Sleepy Time""",Comic Number 5,,Squidward's dream,Male,"['Dark cyan', 'Dark teal', 'Dark blue']",Blue with black pupils,,,Fish,,,
Incidental 131,https://spongebob.fandom.com/wiki/Incidental_131,"""Sleepy Time""",Comic Number 5,,Squidward's dream,Male,"['Bright yellow', 'Faded yellow', 'Pink']",Blue with black pupils,,,Fish,,,
Incidental 132,https://spongebob.fandom.com/wiki/Incidental_132,"""Sleepy Time""",Comic Number 5,,Squidward's dream,Male,"['Olive green', 'Pale green', 'Pink']",Blue with black pupils,,,Fish,,,
Incidental 133,https://spongebob.fandom.com/wiki/Incidental_133,"""Sleepy Time""",Comic Number 5,,Squidward's dream,Male,"['Tan', 'Dark tan']",Blue (238) with black pupils,,,Fish,,,
Incidental 134,https://spongebob.fandom.com/wiki/Incidental_134,"""Sleepy Time""",Comic Number 5,,Squidward's dream,Male,"['Teal', 'Dark teal', 'Light teal']",Light blue with black pupils,,,Fish,,,
Incidental 135,https://spongebob.fandom.com/wiki/Incidental_135,"""Sleepy Time""",Comic Number 5,,Squidward's dream,Female,"['Dark orange', 'Orange', 'Red']",Blue with black pupils,,,Fish,,,
Incidental 136,https://spongebob.fandom.com/wiki/Incidental_136,"""Sleepy Time""",Comic Number 5,,Squidward's dream,Male,"['Dark yellow', 'Yellow', 'Pink']",Blue with black pupils,,,Fish,,,
Incidental 137,https://spongebob.fandom.com/wiki/Incidental_137,"""Sleepy Time""",Comic Number 5,,Squidward's dream,Female,"['Pink', 'Red', 'Purple']",Blue with black pupils,,,Fish,,,
Incidental 33,https://spongebob.fandom.com/wiki/Incidental_33,"""Sandy's Rocket"" (as the lady fish with parasol)","['""BassWard"" (SpongeBob SquarePants)', '""Legend of the Lost Bathroom"" (The Patrick Star Show)']",,"Bikini Bottom, Pacific Ocean",Female,Violet,Black,Carolyn Lawrence,,Fish,,,
Incidental 66,https://spongebob.fandom.com/wiki/Incidental_66,"['""Suds""', '""Valentine\'s Day"" (production order)']","""BassWard""",,"Bikini Bottom, Pacific Ocean",Male,"['Light green', 'Neon green']",White with black pupils,,,Catfish,,,
Incidental 116,https://spongebob.fandom.com/wiki/Incidental_116,"""I Was a Teenage Gary"" (as the snail doctor)","['""Don\'t Make Me Laugh"" (snail doctor) (SpongeBob SquarePants)', '""Pat-per Route"" (The Patrick Star Show)']","['Doctor', 'Veterinarian (Snail doctor)', 'Pirate', 'Dentist', 'Retirement Home Staff Member', 'Optomofish', 'Snail expert (Snail doctor)', 'Snail disease expert (Snail doctor)', 'Allergist']","['Bikini Bottom, Pacific Ocean', 'Pirate Territory']",Male,"['Purple', 'Faded blue', 'Dark purple']",Black,"['Rodger Bumpass', 'Dee Bradley Baker (""The Two Faces of Squidward"")', 'Doug Lawrence (""The Cent of Money"" and ""Allergy Attack!"")', 'Clancy Brown (""Ride Patrick Ride"")']",,Fish,,,
Scallops and clams,https://spongebob.fandom.com/wiki/Scallops_and_clams,"""Help Wanted""","""Pet the Rock""",,,,,,,,,,,
Hans,https://spongebob.fandom.com/wiki/Hans,"['""Help Wanted"" (intro)', '""Suds"" (in-series)']","""Pat-per Route""","['Hypno-therapist', 'Actor']",,Male,Caucasian,,"['Tom Kenny (voice)', 'Peter Bennett (hand)', 'Stephen Hillenburg (intro and ""Suds"")']",,Human hand,,,
Peter Bennett,https://spongebob.fandom.com/wiki/Peter_Bennett,,,,,Male,,,,,,,,
Guy in shower,https://spongebob.fandom.com/wiki/Guy_in_shower,"""Suds""","""Neptune's Spatula""",,,Male,Fair skin,Blue,Tom Kenny,,Human,,,
Chocolate-eating scallops,https://spongebob.fandom.com/wiki/Chocolate-eating_scallops,"""Valentine's Day""",The World's Greatest Valentine,,,,Light orange,,,,Clams,,,
Balloon stand fish,https://spongebob.fandom.com/wiki/Balloon_stand_fish,"""Valentine's Day""","""Big Top Flop""","['Balloon vendor', 'Sideshow barker', 'Ticket taker', 'Light mover']","Bikini Bottom, Pacific Ocean",Male,Olive green,Black,Tom Kenny,,Anchovy,,,
Heart man,https://spongebob.fandom.com/wiki/Heart_man,"""Valentine's Day""",SpongeBob's Idle Adventures,"[""Children's entertainer"", 'Mascot']","Bikini Bottom, Pacific Ocean",Male,Dark green,Black,,,Fish,,,
Kid fish at park,https://spongebob.fandom.com/wiki/Kid_fish_at_park,"""Valentine's Day""","['""Toy Store of Doom"" (SpongeBob SquarePants)', '""Who\'s a Big Boy?"" (The Patrick Star Show)']",,"Bikini Bottom, Pacific Ocean",Male,"['Gray', 'Blue-gray']",White with black pupils,,,Fish,,,
